,Interface,Access_VLAN,Allowed_VLANs,Channel_Group,Channel_Group_Members,Description,Primary_Address,Switchport,Switchport_Mode,VRF
163,regiona-pe01[GigabitEthernet0/0/0/85],,,,[],,,False,NONE,default
164,regiona-pe01[GigabitEthernet0/0/0/86],,,,[],,,False,NONE,default
165,regiona-pe01[GigabitEthernet0/0/0/87],,,,[],,,False,NONE,default
166,regiona-pe01[GigabitEthernet0/0/0/88],,,,[],,,False,NONE,default
167,regiona-pe01[GigabitEthernet0/0/0/89],,,,[],,,False,NONE,default
168,regiona-pe01[GigabitEthernet0/0/0/90],,,,[],,,False,NONE,default
169,regiona-pe01[GigabitEthernet0/0/0/91],,,,[],,,False,NONE,default
170,regiona-pe01[GigabitEthernet0/0/0/92],,,,[],,,False,NONE,default
171,regiona-pe01[GigabitEthernet0/0/0/93],,,,[],,,False,NONE,default
172,regiona-pe01[GigabitEthernet0/0/0/94],,,,[],,,False,NONE,default
173,regiona-pe01[GigabitEthernet0/0/0/95],,,,[],,,False,NONE,default
174,regiona-pe01[GigabitEthernet0/0/0/96],,,,[],,,False,NONE,default
175,regiona-pe01[GigabitEthernet0/0/0/97],,,,[],,,False,NONE,default
176,regiona-pe01[GigabitEthernet0/0/0/98],,,,[],,,False,NONE,default
177,regiona-pe01[GigabitEthernet0/0/0/99],,,,[],,,False,NONE,default
178,regiona-pe01[GigabitEthernet0/0/0/100],,,,[],,,False,NONE,default
179,regiona-pe01[GigabitEthernet0/0/0/101],,,,[],,,False,NONE,default
180,regiona-pe01[GigabitEthernet0/0/0/102],,,,[],,,False,NONE,default
181,regiona-pe01[GigabitEthernet0/0/0/103],,,,[],,,False,NONE,default
182,regiona-pe01[GigabitEthernet0/0/0/104],,,,[],,,False,NONE,default
183,regiona-pe01[GigabitEthernet0/0/0/105],,,,[],,,False,NONE,default
184,regiona-pe01[GigabitEthernet0/0/0/106],,,,[],,,False,NONE,default
185,regiona-pe01[GigabitEthernet0/0/0/107],,,,[],,,False,NONE,default
186,regiona-pe01[GigabitEthernet0/0/0/108],,,,[],,,False,NONE,default
187,regiona-pe01[GigabitEthernet0/0/0/109],,,,[],,,False,NONE,default
188,regiona-pe01[GigabitEthernet0/0/0/110],,,,[],,,False,NONE,default
189,regiona-pe01[GigabitEthernet0/0/0/111],,,,[],,,False,NONE,default
190,regiona-pe01[GigabitEthernet0/0/0/112],,,,[],,,False,NONE,default
191,regiona-pe01[GigabitEthernet0/0/0/113],,,,[],,,False,NONE,default
192,regiona-pe01[GigabitEthernet0/0/0/114],,,,[],,,False,NONE,default
193,regiona-pe01[GigabitEthernet0/0/0/115],,,,[],,,False,NONE,default
194,regiona-pe01[GigabitEthernet0/0/0/116],,,,[],,,False,NONE,default
195,regiona-pe01[GigabitEthernet0/0/0/117],,,,[],,,False,NONE,default
196,regiona-pe01[GigabitEthernet0/0/0/118],,,,[],,,False,NONE,default
197,regiona-pe01[GigabitEthernet0/0/0/119],,,,[],,,False,NONE,default
