,Interface,Access_VLAN,Allowed_VLANs,Channel_Group,Channel_Group_Members,Description,Primary_Address,Switchport,Switchport_Mode,Switchport_Trunk_Encapsulation,VRF
103,regiona-svr02[ens4],,,,[],,10.0.0.15/24,False,NONE,DOT1Q,default
104,regionb-acc01[Ethernet1],1,,Port-Channel1,[],to_RegionB-CE01_ge-0/0/4,,True,ACCESS,DOT1Q,default
105,regionb-acc01[Ethernet2],1,,Port-Channel1,[],to_RegionB-CE01_ge-0/0/5,,True,ACCESS,DOT1Q,default
106,regionb-acc01[Ethernet3],1,,Port-Channel2,[],to_RegionB-CE02_ge-0/0/4,,True,ACCESS,DOT1Q,default
107,regionb-acc01[Ethernet4],1,,Port-Channel2,[],to_RegionB-CE02_ge-0/0/5,,True,ACCESS,DOT1Q,default
108,regionb-acc01[Ethernet5],1010,,,[],to_RegionB-Svr01_enp1s4,,True,ACCESS,DOT1Q,default
109,regionb-acc01[Ethernet6],1110,,,[],to_RegionB-Svr01_enp1s5,,True,ACCESS,DOT1Q,default
110,regionb-acc01[Ethernet7],1,,,[],,,True,ACCESS,DOT1Q,default
111,regionb-acc01[Ethernet8],1,,,[],,,True,ACCESS,DOT1Q,default
112,regionb-acc01[Ethernet9],1,,,[],,,True,ACCESS,DOT1Q,default
113,regionb-acc01[Ethernet10],1,,,[],,,True,ACCESS,DOT1Q,default
114,regionb-acc01[Ethernet11],1,,,[],,,True,ACCESS,DOT1Q,default
115,regionb-acc01[Ethernet12],1,,,[],,,True,ACCESS,DOT1Q,default
116,regionb-acc01[Ethernet13],1,,,[],,,True,ACCESS,DOT1Q,default
117,regionb-acc01[Ethernet14],1,,,[],,,True,ACCESS,DOT1Q,default
118,regionb-acc01[Ethernet15],1,,,[],,,True,ACCESS,DOT1Q,default
119,regionb-acc01[Ethernet16],1,,,[],,,True,ACCESS,DOT1Q,default
120,regionb-acc01[Ethernet17],1,,,[],,,True,ACCESS,DOT1Q,default
121,regionb-acc01[Ethernet18],1,,,[],,,True,ACCESS,DOT1Q,default
122,regionb-acc01[Ethernet19],1,,,[],,,True,ACCESS,DOT1Q,default
123,regionb-acc01[Management1],,,,[],,10.0.0.15/24,False,NONE,DOT1Q,default
124,regionb-acc01[Port-Channel1],,"1010,1110",,"['Ethernet1', 'Ethernet2']",,,True,TRUNK,DOT1Q,default
125,regionb-acc01[Port-Channel2],,"1010,1110",,"['Ethernet3', 'Ethernet4']",,,True,TRUNK,DOT1Q,default
126,regionb-acc02[Ethernet1],1,,Port-Channel1,[],to_RegionB-CE01_ge-0/0/6,,True,ACCESS,DOT1Q,default
127,regionb-acc02[Ethernet2],1,,Port-Channel1,[],to_RegionB-CE01_ge-0/0/7,,True,ACCESS,DOT1Q,default
128,regionb-acc02[Ethernet3],1,,Port-Channel2,[],to_RegionB-CE02_ge-0/0/6,,True,ACCESS,DOT1Q,default
129,regionb-acc02[Ethernet4],1,,Port-Channel2,[],to_RegionB-CE02_ge-0/0/7,,True,ACCESS,DOT1Q,default
130,regionb-acc02[Ethernet5],1020,,,[],to_RegionB-Svr02_enp1s4,,True,ACCESS,DOT1Q,default
131,regionb-acc02[Ethernet6],1120,,,[],to_RegionB-Svr02_enp1s5,,True,ACCESS,DOT1Q,default
132,regionb-acc02[Ethernet7],1,,,[],,,True,ACCESS,DOT1Q,default
133,regionb-acc02[Ethernet8],1,,,[],,,True,ACCESS,DOT1Q,default
134,regionb-acc02[Ethernet9],1,,,[],,,True,ACCESS,DOT1Q,default
135,regionb-acc02[Ethernet10],1,,,[],,,True,ACCESS,DOT1Q,default
136,regionb-acc02[Ethernet11],1,,,[],,,True,ACCESS,DOT1Q,default
137,regionb-acc02[Ethernet12],1,,,[],,,True,ACCESS,DOT1Q,default
138,regionb-acc02[Ethernet13],1,,,[],,,True,ACCESS,DOT1Q,default
139,regionb-acc02[Ethernet14],1,,,[],,,True,ACCESS,DOT1Q,default
140,regionb-acc02[Ethernet15],1,,,[],,,True,ACCESS,DOT1Q,default
141,regionb-acc02[Ethernet16],1,,,[],,,True,ACCESS,DOT1Q,default
142,regionb-acc02[Ethernet17],1,,,[],,,True,ACCESS,DOT1Q,default
143,regionb-acc02[Ethernet18],1,,,[],,,True,ACCESS,DOT1Q,default
144,regionb-acc02[Ethernet19],1,,,[],,,True,ACCESS,DOT1Q,default
145,regionb-acc02[Management1],,,,[],,10.0.0.15/24,False,NONE,DOT1Q,default
146,regionb-acc02[Port-Channel1],,"1020,1120",,"['Ethernet1', 'Ethernet2']",,,True,TRUNK,DOT1Q,default
147,regionb-acc02[Port-Channel2],,"1020,1120",,"['Ethernet3', 'Ethernet4']",,,True,TRUNK,DOT1Q,default
148,regionb-ce01[ae0],,,,"['ge-0/0/2', 'ge-0/0/3']",,,False,NONE,DOT1Q,default
149,regionb-ce01[ae0.0],,,,[],,172.17.5.1/30,False,NONE,DOT1Q,default
150,regionb-ce01[ae1],,,,"['ge-0/0/4', 'ge-0/0/5']",,,False,NONE,DOT1Q,default
151,regionb-ce01[ae1.1010],,,,[],,172.31.10.1/24,False,NONE,DOT1Q,default
152,regionb-ce01[ae1.1110],,,,[],,172.31.110.1/24,False,NONE,DOT1Q,VR1
153,regionb-ce01[ae2],,,,"['ge-0/0/6', 'ge-0/0/7']",,,False,NONE,DOT1Q,default
154,regionb-ce01[ae2.1020],,,,[],,172.31.20.1/24,False,NONE,DOT1Q,default
155,regionb-ce01[ae2.1120],,,,[],,172.31.120.1/24,False,NONE,DOT1Q,VR1
156,regionb-ce01[fxp0],,,,[],,,False,NONE,DOT1Q,default
157,regionb-ce01[fxp0.0],,,,[],,10.0.0.15/24,False,NONE,DOT1Q,default
158,regionb-ce01[ge-0/0/0],,,,[],to_RegionB-PE01_ge-0/0/2,,False,NONE,DOT1Q,default
159,regionb-ce01[ge-0/0/0.0],,,,[],to_RegionB-PE01_ge-0/0/2,172.17.1.2/30,False,NONE,DOT1Q,default
160,regionb-ce01[ge-0/0/2],,,ae0,[],to_RegionB-CE02_ge-0/0/2,,False,NONE,DOT1Q,default
161,regionb-ce01[ge-0/0/3],,,ae0,[],to_RegionB-CE02_ge-0/0/3,,False,NONE,DOT1Q,default
162,regionb-ce01[ge-0/0/4],,,ae1,[],to_RegionB-Acc01_Ethernet1,,False,NONE,DOT1Q,default
163,regionb-ce01[ge-0/0/5],,,ae1,[],to_RegionB-Acc01_Ethernet2,,False,NONE,DOT1Q,default
164,regionb-ce01[ge-0/0/6],,,ae2,[],to_RegionB-Acc02_Ethernet1,,False,NONE,DOT1Q,default
165,regionb-ce01[ge-0/0/7],,,ae2,[],to_RegionB-Acc02_Ethernet2,,False,NONE,DOT1Q,default
166,regionb-ce02[ae0],,,,"['ge-0/0/2', 'ge-0/0/3']",,,False,NONE,DOT1Q,default
167,regionb-ce02[ae0.0],,,,[],,172.17.5.2/30,False,NONE,DOT1Q,default
168,regionb-ce02[ae1],,,,"['ge-0/0/4', 'ge-0/0/5']",,,False,NONE,DOT1Q,default
169,regionb-ce02[ae1.1010],,,,[],,172.31.10.2/24,False,NONE,DOT1Q,default
170,regionb-ce02[ae1.1110],,,,[],,172.31.110.2/24,False,NONE,DOT1Q,VR1
171,regionb-ce02[ae2],,,,"['ge-0/0/6', 'ge-0/0/7']",,,False,NONE,DOT1Q,default
172,regionb-ce02[ae2.1020],,,,[],,172.31.20.2/24,False,NONE,DOT1Q,default
173,regionb-ce02[ae2.1120],,,,[],,172.31.120.2/24,False,NONE,DOT1Q,VR1
174,regionb-ce02[fxp0],,,,[],,,False,NONE,DOT1Q,default
175,regionb-ce02[fxp0.0],,,,[],,10.0.0.15/24,False,NONE,DOT1Q,default
176,regionb-ce02[ge-0/0/1],,,,[],to_RegionB-PE02_ge-0/0/3,,False,NONE,DOT1Q,default
177,regionb-ce02[ge-0/0/1.0],,,,[],to_RegionB-PE02_ge-0/0/3,172.17.4.2/30,False,NONE,DOT1Q,default
178,regionb-ce02[ge-0/0/2],,,ae0,[],to_RegionB-CE01_ge-0/0/2,,False,NONE,DOT1Q,default
179,regionb-ce02[ge-0/0/3],,,ae0,[],to_RegionB-CE01_ge-0/0/3,,False,NONE,DOT1Q,default
180,regionb-ce02[ge-0/0/4],,,ae1,[],to_RegionB-Acc01_Ethernet3,,False,NONE,DOT1Q,default
181,regionb-ce02[ge-0/0/5],,,ae1,[],to_RegionB-Acc01_Ethernet4,,False,NONE,DOT1Q,default
182,regionb-ce02[ge-0/0/6],,,ae2,[],to_RegionB-Acc02_Ethernet3,,False,NONE,DOT1Q,default
183,regionb-ce02[ge-0/0/7],,,ae2,[],to_RegionB-Acc02_Ethernet4,,False,NONE,DOT1Q,default
184,regionb-pe01[fxp0],,,,[],,,False,NONE,DOT1Q,default
185,regionb-pe01[fxp0.0],,,,[],,10.0.0.15/24,False,NONE,DOT1Q,default
186,regionb-pe01[ge-0/0/0],,,,[],to_RegionA-PE01_ge-0/0/0,,False,NONE,DOT1Q,default
187,regionb-pe01[ge-0/0/0.0],,,,[],to_RegionA-PE01_ge-0/0/0,10.1.0.2/30,False,NONE,DOT1Q,default
188,regionb-pe01[ge-0/0/1],,,,[],to_RegionB-PE02_ge-0/0/1,,False,NONE,DOT1Q,default
189,regionb-pe01[ge-0/0/1.0],,,,[],to_RegionB-PE02_ge-0/0/1,172.17.0.1/30,False,NONE,DOT1Q,default
190,regionb-pe01[ge-0/0/2],,,,[],to_RegionB-CE01_ge-0/0/0,,False,NONE,DOT1Q,default
191,regionb-pe01[ge-0/0/2.0],,,,[],to_RegionB-CE01_ge-0/0/0,172.17.1.1/30,False,NONE,DOT1Q,default
192,regionb-pe01[ge-0/0/4],,,,[],to_RegionA-PE02_ge-0/0/4,,False,NONE,DOT1Q,default
193,regionb-pe01[ge-0/0/4.0],,,,[],to_RegionA-PE02_ge-0/0/4,10.1.3.2/30,False,NONE,DOT1Q,default
194,regionb-pe02[fxp0],,,,[],,,False,NONE,DOT1Q,default
195,regionb-pe02[fxp0.0],,,,[],,10.0.0.15/24,False,NONE,DOT1Q,default
196,regionb-pe02[ge-0/0/0],,,,[],to_RegionA-PE02_ge-0/0/0,,False,NONE,DOT1Q,default
197,regionb-pe02[ge-0/0/0.0],,,,[],to_RegionA-PE02_ge-0/0/0,10.1.1.2/30,False,NONE,DOT1Q,default
198,regionb-pe02[ge-0/0/1],,,,[],to_RegionB-PE01_ge-0/0/1,,False,NONE,DOT1Q,default
199,regionb-pe02[ge-0/0/1.0],,,,[],to_RegionB-PE01_ge-0/0/1,172.17.0.2/30,False,NONE,DOT1Q,default
200,regionb-pe02[ge-0/0/3],,,,[],to_RegionB-CE02_ge-0/0/1,,False,NONE,DOT1Q,default
201,regionb-pe02[ge-0/0/3.0],,,,[],to_RegionB-CE02_ge-0/0/1,172.17.4.1/30,False,NONE,DOT1Q,default
202,regionb-pe02[ge-0/0/4],,,,[],to_RegionA-PE01_ge-0/0/4,,False,NONE,DOT1Q,default
203,regionb-pe02[ge-0/0/4.0],,,,[],to_RegionA-PE01_ge-0/0/4,10.1.2.1/30,False,NONE,DOT1Q,default
204,regionb-svr01[enp1s4],,,,[],,172.31.10.100/24,False,NONE,DOT1Q,default
205,regionb-svr01[enp1s5],,,,[],,172.31.110.100/24,False,NONE,DOT1Q,default
206,regionb-svr01[ens4],,,,[],,10.0.0.15/24,False,NONE,DOT1Q,default
207,regionb-svr02[enp1s4],,,,[],,172.31.20.100/24,False,NONE,DOT1Q,default
208,regionb-svr02[enp1s5],,,,[],,172.31.120.100/24,False,NONE,DOT1Q,default
209,regionb-svr02[ens4],,,,[],,10.0.0.15/24,False,NONE,DOT1Q,default
